stnreg_stnid	Stnreg	Platform type
KANX66	VARBERG-1	BTL
KANX67	VARBERG-2	BTL
KANX68	VARBERG-3	BTL
KANX69	VARBERG-4	BTL
BPSH11	VH1 / HANÖ-1	BTL
BPSH13	VH3 / HANÖ-3	BTL
BPSH10	VH3A	BTL
BPSH14	VH4 / HANÖ-4	BTL
BPWM03	VS1-V	BTL
GBSF87	VÅGÖN	BTL
BPEG02	VÄ6 SLITE	BTL
FIBX01	VÄDERÖ-1	BTL
SKEX10	VÄDERÖ-10	BTL
SKEX02	VÄDERÖ-2	BTL
SKEX03	VÄDERÖ-3	BTL
SKEX04	VÄDERÖ-4	BTL
SKEX05	VÄDERÖ-5	BTL
SKEX06	VÄDERÖ-6	BTL
SKEX08	VÄDERÖ-8	BTL
BPWX56	VÄSTERVIK	BTL
GBSL17	X17 / EXT	BTL
GBSL18	X18 / EXT	BTL
GBSL19	X19 / EXT	BTL
GBSL20	X20 / EXT	BTL
GBSL21	X21 / EXT	BTL
GBSL22	X22 / EXT	BTL
GBSL23	X23 / EXT	BTL
GBSL24	X24 / EXT	BTL
GBSL25	X25 / EXT	BTL
GBSL26	X26 / EXT	BTL
GBSL27	X27 / EXT	BTL
GBSL28	X28 / EXT	BTL
BPSA50	YSTAD	BTL
SKEX12	Å11	BTL
SKEX13	Å12	BTL
SKEX14	Å13	BTL
SKEX15	Å14	BTL
SKEX16	Å15	BTL
SKEX17	Å16	BTL
SKEX18	Å17	BTL
SKEX19	Å18	BTL
FIBA61	ÅBYFJORDEN	BTL
GBAX81	ÅLANDS HAV	BTL
